session_date,contract,dir,signal_from_utc,entry_utc,exit_utc,prior_move_pts,entry_px,exit_px,points,gross_usd,net_usd,cum_gross,cum_net
2012-02-09,201203,LONG,2012-02-08 23:00:00+00:00,2012-02-09 01:00:00+00:00,2012-02-09 03:00:00+00:00,-0.115,33.82,33.965,0.145,145.0,113.8,13800.0,-6230.4
2012-02-09,201203,SHORT,2012-02-09 03:00:00+00:00,2012-02-09 05:00:00+00:00,2012-02-09 07:00:00+00:00,0.035,34.0,34.025,-0.025,-25.0,-56.2,13775.0,-6286.6
2012-02-10,201203,SHORT,2012-02-09 23:00:00+00:00,2012-02-10 01:00:00+00:00,2012-02-10 03:00:00+00:00,0.08,34.0,33.925,0.075,75.0,43.8,13850.0,-6242.8
2012-02-10,201203,LONG,2012-02-10 03:00:00+00:00,2012-02-10 05:00:00+00:00,2012-02-10 07:00:00+00:00,-0.04,33.885,33.84,-0.045,-45.0,-76.2,13805.0,-6319.0
2012-02-13,201203,LONG,2012-02-12 23:00:00+00:00,2012-02-13 01:00:00+00:00,2012-02-13 03:00:00+00:00,-0.175,33.64,33.785,0.145,145.0,113.8,13950.0,-6205.2
2012-02-13,201203,SHORT,2012-02-13 03:00:00+00:00,2012-02-13 05:00:00+00:00,2012-02-13 07:00:00+00:00,0.03,33.815,33.86,-0.045,-45.0,-76.2,13905.0,-6281.4
2012-02-14,201203,SHORT,2012-02-13 23:00:00+00:00,2012-02-14 01:00:00+00:00,2012-02-14 03:00:00+00:00,0.01,33.61,33.475,0.135,135.0,103.8,14040.0,-6177.6
2012-02-14,201203,SHORT,2012-02-14 03:00:00+00:00,2012-02-14 05:00:00+00:00,2012-02-14 07:00:00+00:00,0.1,33.575,33.515,0.06,60.0,28.8,14100.0,-6148.8
2012-02-15,201203,SHORT,2012-02-14 23:00:00+00:00,2012-02-15 01:00:00+00:00,2012-02-15 03:00:00+00:00,0.005,33.585,33.7,-0.115,-115.0,-146.2,13985.0,-6295.0
2012-02-15,201203,SHORT,2012-02-15 03:00:00+00:00,2012-02-15 05:00:00+00:00,2012-02-15 07:00:00+00:00,0.02,33.72,33.74,-0.02,-20.0,-51.2,13965.0,-6346.2
2012-02-16,201203,LONG,2012-02-15 23:00:00+00:00,2012-02-16 01:00:00+00:00,2012-02-16 03:00:00+00:00,-0.105,33.325,33.33,0.005,5.0,-26.2,13970.0,-6372.4
2012-02-16,201203,LONG,2012-02-16 03:00:00+00:00,2012-02-16 05:00:00+00:00,2012-02-16 07:00:00+00:00,-0.095,33.235,33.255,0.02,20.0,-11.2,13990.0,-6383.6
2012-02-17,201203,SHORT,2012-02-16 23:00:00+00:00,2012-02-17 01:00:00+00:00,2012-02-17 03:00:00+00:00,0.04,33.565,33.51,0.055,55.0,23.8,14045.0,-6359.8
2012-02-17,201203,SHORT,2012-02-17 03:00:00+00:00,2012-02-17 05:00:00+00:00,2012-02-17 07:00:00+00:00,0.045,33.555,33.58,-0.025,-25.0,-56.2,14020.0,-6416.0
2012-02-20,201203,LONG,2012-02-19 23:00:00+00:00,2012-02-20 01:00:00+00:00,2012-02-20 03:00:00+00:00,-0.005,33.595,33.575,-0.02,-20.0,-51.2,14000.0,-6467.2
2012-02-20,201203,LONG,2012-02-20 03:00:00+00:00,2012-02-20 05:00:00+00:00,2012-02-20 07:00:00+00:00,-0.005,33.57,33.5,-0.07,-70.0,-101.2,13930.0,-6568.4
2012-02-21,201203,SHORT,2012-02-20 23:00:00+00:00,2012-02-21 01:00:00+00:00,2012-02-21 03:00:00+00:00,0.13,33.585,33.585,-0.0,-0.0,-31.2,13930.0,-6599.6
