session_date,dir,reason,ref_range,gross,net,contract,ref_hi,ref_lo,stop_px,entry_utc,exit_utc,entry_px,exit_px,cost,cum_net
2012-10-24,-1,eow,7.25,16.25,12.55,201212,1414.75,1407.5,1414.75,2012-10-24 15:30:00+00:00,2012-10-24 19:30:00+00:00,1407.25,1404.0,3.7,-3147.8
2012-10-25,-1,eow,6.75,8.75,5.05,201212,1416.75,1410.0,1416.75,2012-10-25 14:30:00+00:00,2012-10-25 19:30:00+00:00,1409.75,1408.0,3.7,-3142.75
2012-10-26,-1,stop,7.75,-40.0,-43.7,201212,1411.75,1404.0,1411.75,2012-10-26 14:30:00+00:00,2012-10-26 19:30:00+00:00,1403.75,1411.75,3.7,-3186.45
2012-10-31,-1,eow,5.5,13.75,10.05,201212,1414.5,1409.0,1414.5,2012-10-31 14:30:00+00:00,2012-10-31 19:30:00+00:00,1408.75,1406.0,3.7,-3176.4
2012-11-01,1,eow,12.25,5.0,1.2999999999999998,201212,1421.25,1409.0,1409.0,2012-11-01 14:30:00+00:00,2012-11-01 19:30:00+00:00,1421.5,1422.5,3.7,-3175.1
2012-11-02,-1,eow,11.0,51.25,47.55,201212,1430.75,1419.75,1430.75,2012-11-02 14:30:00+00:00,2012-11-02 19:30:00+00:00,1419.5,1409.25,3.7,-3127.55
2012-11-05,1,eow,4.75,23.75,20.05,201212,1407.75,1403.0,1403.0,2012-11-05 15:30:00+00:00,2012-11-05 20:30:00+00:00,1408.0,1412.75,3.7,-3107.5
2012-11-06,1,eow,4.5,16.25,12.55,201212,1419.5,1415.0,1415.0,2012-11-06 15:30:00+00:00,2012-11-06 20:30:00+00:00,1419.75,1423.0,3.7,-3094.95
2012-11-07,-1,eow,14.25,27.5,23.8,201212,1410.75,1396.5,1410.75,2012-11-07 15:30:00+00:00,2012-11-07 20:30:00+00:00,1396.25,1390.75,3.7,-3071.15
2012-11-08,-1,eow,9.75,68.75,65.05,201212,1397.5,1387.75,1397.5,2012-11-08 15:30:00+00:00,2012-11-08 20:30:00+00:00,1387.5,1373.75,3.7,-3006.1
2012-11-09,1,eow,11.25,-26.25,-29.95,201212,1380.25,1369.0,1369.0,2012-11-09 15:30:00+00:00,2012-11-09 20:30:00+00:00,1380.5,1375.25,3.7,-3036.05
2012-11-12,-1,stop,5.0,-26.25,-29.95,201212,1381.0,1376.0,1381.0,2012-11-12 15:30:00+00:00,2012-11-12 18:00:00+00:00,1375.75,1381.0,3.7,-3066.0
2012-11-13,1,eow,14.0,-47.5,-51.2,201212,1381.0,1367.0,1367.0,2012-11-13 15:30:00+00:00,2012-11-13 20:30:00+00:00,1381.25,1371.75,3.7,-3117.2
2012-11-14,-1,eow,10.75,70.0,66.3,201212,1377.75,1367.0,1377.75,2012-11-14 15:30:00+00:00,2012-11-14 20:30:00+00:00,1366.75,1352.75,3.7,-3050.9
